               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037292,            0.065526,           0.0065312,             0.84392,             0.66259,             0.74043,             0.38256,            0.040011,            0.068995,            0.010735,            0.007543,            0.007543,            0.007543
                  37,             0.03761,            0.068306,           0.0067875,             0.83047,             0.68138,             0.73255,             0.37977,             0.04011,            0.069628,            0.011357,            0.007416,            0.007416,            0.007416
                  38,            0.037458,            0.066544,           0.0066065,             0.81801,             0.67173,             0.72707,             0.37991,            0.039835,            0.069812,            0.011309,           0.0072872,           0.0072872,           0.0072872
                  39,            0.037115,             0.06564,           0.0063849,             0.81226,             0.67244,              0.7218,             0.37018,            0.040166,            0.070067,            0.010707,           0.0071566,           0.0071566,           0.0071566
                  40,            0.037022,            0.063627,           0.0063357,             0.83894,             0.67554,             0.74272,             0.38189,            0.040081,            0.070168,            0.010314,           0.0070243,           0.0070243,           0.0070243
                  41,            0.036673,            0.063692,           0.0059853,             0.82184,             0.68108,             0.73686,             0.38031,            0.040125,            0.070313,            0.010883,           0.0068906,           0.0068906,           0.0068906
                  42,            0.036773,            0.067435,           0.0060071,             0.80008,             0.68854,             0.73548,             0.37735,            0.040079,            0.071209,            0.011098,           0.0067555,           0.0067555,           0.0067555
                  43,            0.036964,            0.068353,           0.0059902,             0.81778,             0.66402,             0.72947,             0.37985,              0.0401,            0.069872,            0.010948,           0.0066191,           0.0066191,           0.0066191
                  44,            0.036534,            0.064015,           0.0058837,             0.83996,             0.65989,             0.73042,             0.37915,            0.039785,            0.069344,            0.010872,           0.0064816,           0.0064816,           0.0064816
                  45,            0.036252,             0.06379,           0.0055655,             0.82428,             0.67439,             0.73573,             0.37915,            0.039827,            0.069065,            0.010704,           0.0063432,           0.0063432,           0.0063432
                  46,            0.036041,            0.063051,           0.0058093,             0.83923,             0.66527,             0.72465,             0.37383,            0.040276,            0.071213,            0.010962,            0.006204,            0.006204,            0.006204
